image_name,pcnt_road,pcnt_sidewalk,pcnt_building,pcnt_wall,pcnt_fence,pcnt_pole,pcnt_traffic_light,pcnt_traffic_sign,pcnt_vegetation,pcnt_terrain,pcnt_sky,pcnt_person,pcnt_rider,pcnt_car,pcnt_truck,pcnt_bus,pcnt_train,pcnt_motorcycle,pcnt_bicycle,pcnt_unlabeled
STIM0001,0.043968099,0.244755046,0.035085449,0,0.018417155,0.03693929,0.000807292,0.00453776,0.268391927,0.022600098,0.178791504,0.007753906,0,0.089729818,0.000829264,0.000950521,0,0,0,0.046442871
STIM0002,0.084339193,0.030955404,0.28050944,0,0.000586751,0.021437988,0.000406087,0.010219727,0.134580078,0,0.180923665,0.001455892,0,0.214006348,0.002776693,0,0,0,0,0.037802734
STIM0003,0.101739095,0.057976074,0.062473145,0.000392253,0.0190861,0.008986816,8.71E-05,0.001402181,0.157976888,0.009243164,0.399597168,0,0,0.018116048,0.006977539,9.93E-05,0,0,0,0.155847168
STIM0004,0.072013346,0.032293294,0.160498861,0,0.044067383,0.012926432,0.000126953,0.001105143,0.15702474,0.002665202,0.252902832,0.004519857,0,0.013299967,0.007229818,0,0,0,0,0.239326172
STIM0005,0.067359212,0.015763346,0.232854818,0.000142415,0.007325846,0.048181966,0.009501953,0.006786296,0.021921387,4.39E-05,0.294108887,0.000291341,0,0.084355469,0,0,0,0,0,0.211363118
STIM0006,0.050183105,0.050375977,0.230594076,1.22E-05,0.003916016,0.043172201,0.001993815,0.005585124,0.015587565,0.000914714,0.330251465,0.003181152,0,0.006040853,8.54E-05,0.000884603,0,0,2.44E-06,0.257219238
STIM0007,0.092293294,0.026783854,0.133004557,0,0.008190104,0.015924479,0.00025472,0.005187174,0.001435547,0,0.519992676,0.000688477,0,0.007102051,0.00454834,0,0,0,2.93E-05,0.18456543
STIM0008,0.080018717,0.042943522,0.094597982,0.000230306,0.001869303,0.018561198,1.22E-05,0.004773763,0.004375,0.001491699,0.529633789,6.59E-05,0,0.020080566,0.00201416,0,0,0,0,0.199331868
STIM0009,0.085554199,0.035799154,0.15578776,0.00037028,0.04732015,0.033049316,0.000741374,0.009112956,0.173802897,0,0.272019857,0.00124349,0,0.027722168,0,0,0,0,0.001444499,0.156031901
STIM0010,0.110928548,0.037628581,0.065792643,0.000325521,0.034972331,0.023427734,0.007889811,0.004744466,0.235609538,0.005058594,0.377008464,0.000198568,0,0.029746908,0.003406576,2.44E-06,0,0,0,0.063259277
STIM0011,0.024656576,0.004033203,0.295183919,0,0,0.022394206,0.001589355,0.003615723,0.000113932,0,0.261506348,0.00064209,0,0.156425781,3.42E-05,0.000213216,0,0,2.60E-05,0.22956543
STIM0012,0.065061035,0.02532959,0.278344727,0.000213216,0.001344401,0.008226725,0.002244466,0.021700846,0.054766439,0,0.232046712,0.002058919,0,0.033977865,0.00010498,0,0,0,0,0.274580078
STIM0013,0.116599121,0.032342122,0.061998698,0.000537923,0.037399089,0.011764323,7.32E-06,0.000769043,0.127939453,0.008072103,0.4315625,0,0,0.037305501,0.000283203,0,0,0,0,0.133419596
STIM0014,0.072070313,0.035011393,0.321812337,0,0.000174967,0.017772624,0.000327962,0.001208496,0.007500814,0,0.265952148,0.005109863,0,0.061844076,0.004654948,0,0,0,0.000227865,0.206332194
STIM0015,0.056665853,0.037379557,0.289807943,6.51E-05,0.002900391,0.01298584,0.000467122,0.004786784,0.037539876,0,0.264732259,0.017958171,0,0.014331055,0.000477702,0,0,0,2.69E-05,0.259875488
STIM0016,0.12248291,0.05041097,0.095729167,0.000996908,0.041914876,0.011386719,0.000594076,0.006866862,0.044638672,5.70E-05,0.486894531,0.001099447,0,0.00805013,0.004821777,0,0,0,1.63E-05,0.124039714
STIM0017,0.06246582,0.001248372,0.186070964,0.000432129,0.00675293,0.020668132,0.000777181,0.006494954,0.142353516,0.001048991,0.315279134,7.32E-06,0,0.124991862,1.63E-06,0,0,0,7.32E-05,0.131333822
STIM0018,0.061595866,0.017120768,0.043977051,0,0.0237264,0.003557943,0.001188151,0.000231934,0.395770671,8.79E-05,0.215218099,0.000286458,0.000174967,0.111239421,2.28E-05,0,0,0,0.01357666,0.112224935
STIM0019,0.079624837,0.04921224,0.0202889,0,0.070269368,0.040782878,0.001682943,0.006953939,0.037365723,0.006625977,0.214950358,3.42E-05,0,0.009717611,7.73E-05,0.003055827,0,0,1.63E-05,0.459341634
STIM0020,0.05142985,0.04324056,0.277027181,0.000542806,3.34E-05,0.008545736,0.003541667,0.001200358,0,0,0.015284017,0.000784505,0,0.09799235,6.51E-06,0,0,0,0,0.500371094
STIM0021,0.078684896,0.019642741,0.083326823,0,0.02476888,0.017486979,0.00026123,0.004700521,0.263693034,1.63E-05,0.279975586,0.001306966,0,0.0875236,0.002281087,0,0,0,3.26E-06,0.136328125
STIM0022,0.036688639,0.051978353,0.316499837,0,0.024315592,0.012290853,0.000393066,0.002223307,0.031372884,0.005909831,0.390163574,0.000205078,0,0.097681478,0.00050293,0.006438802,0,0,0.000349935,0.02298584
STIM0023,0.044341634,0.073953451,0.040135091,0.00686849,0.11894694,0.010061035,0.000218913,0.001085612,0.425106608,0.12023763,0.100792643,0,0,0.007066243,1.87E-05,0.000981445,0,0,0,0.050185547
STIM0024,0.106338704,0.001080729,0.360777995,0,0,0.015728353,0.00054362,0.001629232,0.002421061,0,0.240557454,0.000352376,0,0.14274821,0.000950521,0.000266113,0,0,0,0.126605632
STIM0025,0.082532552,0.00443278,0.303308105,0,0,0.005337728,0.001169434,0.001761068,0.033652344,0,0.228578288,0.000140788,0,0.14146403,0.005637207,0.001270345,0,0,0.000559896,0.190155436
STIM0026,0.099569499,0.03715332,0.26697347,0,0.019078776,0.012791341,0.000889486,0.006537272,0.067334798,5.05E-05,0.280616862,0.000524902,0.000764974,0.008353678,1.55E-05,0,0,0,0.001343587,0.198002116
