ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,SED,NSED
0.116773275,-1.744122368,0.18458542,0.557853286,1.427965418,0.174966696,0.265253958,7.793354978,0.080979,0.055677
0.101374512,2.1887866,0.194649435,0.526473145,2.236822578,0.173916905,0.292404532,7.930809135,0.10827,0.027494
0.093290609,2.524703192,0.192901668,0.57504361,1.073009256,0.165778719,0.347673808,7.83120501,0.076896,0.03995
0.10325765,-3.10012414,0.258880249,0.47736877,0.828234271,0.224115502,0.342816636,7.660794134,0.088477,0.025692
0.089972738,3.013109324,0.24848147,0.570675504,1.323300472,0.20419045,0.341871915,7.819785855,0.099235,0.013318
0.078337402,2.989077516,0.271943974,0.598645358,1.298998524,0.217855251,0.347374234,7.718349762,0.11222,0.0039094
0.067895101,2.977556711,0.219997992,0.709361826,0.973918321,0.157121588,0.337242253,7.345813659,0.063573,0.025722
0.067701823,2.996058001,0.209486379,0.708469091,0.951776942,0.148768325,0.338268848,7.267507418,0.063758,0.018647
0.098116862,-2.762760384,0.307874312,0.499042072,0.64432789,0.23189275,0.351934295,7.770840521,0.097627,0.028082
0.096465251,2.687176992,0.231549162,0.56072153,1.056249417,0.174195868,0.3542418,7.866900585,0.092335,0.026405
0.080724284,-2.973104535,0.310438979,0.480573386,0.842339306,0.259329901,0.347134468,7.730051453,0.11373,0.0099396
0.091448975,0.725873911,0.191107017,0.532730012,1.233659975,0.175829898,0.307224386,7.799125501,0.091481,0.020375
0.091077474,2.972149683,0.215795711,0.559327918,0.798012934,0.172177422,0.345303133,7.858012756,0.06666,0.047444
0.08769043,0.47324617,0.18620463,0.547345397,0.892751998,0.183213948,0.330482215,7.608714788,0.10611,0.016313
0.086645915,-3.128501544,0.26330134,0.459785399,0.829356672,0.234832131,0.331276542,7.752169925,0.10755,0.014965
0.071284993,2.93675045,0.210290143,0.667582121,0.969140325,0.146091991,0.348985033,7.407487276,0.07836,0.014685
0.09910848,1.710689199,0.302829618,0.552533178,1.283138232,0.235527503,0.344117673,7.82646852,0.084829,0.038182
0.110406494,-2.922825573,0.306521394,0.478550433,0.585961603,0.210563546,0.351136485,7.691588037,0.074496,0.06115
0.086894124,2.710311387,0.193916414,0.461887102,1.10715273,0.168302472,0.341317248,7.669007209,0.087881,0.025865
0.105051676,0.498825407,0.192885376,0.360553612,1.576148841,0.214183299,0.296577909,7.596170504,0.11744,0.02127
0.094314779,2.47425147,0.237993454,0.583166434,1.187845075,0.178901631,0.339967413,7.913930637,0.086796,0.037159
0.085910645,2.609001147,0.236145674,0.588898986,1.211876814,0.168229023,0.343834759,7.847348451,0.11297,0.0051406
0.141686605,1.792239217,0.226866302,0.607177916,1.286802891,0.179139309,0.296350081,7.883169348,0.058138,0.095037
0.083454997,2.879865124,0.183431472,0.532029721,0.859594765,0.130839084,0.341415595,7.746904501,0.090873,0.012367
0.086258952,0.935909333,0.220968608,0.519936485,1.19977954,0.175741251,0.316718153,7.82138901,0.11194,0.01327
0.092728271,0.593351464,0.193546894,0.574951274,0.796405766,0.18164799,0.320756452,7.47263942,0.10447,0.011868
0.08883016,2.809178521,0.260221032,0.609532511,1.437206113,0.206492156,0.343663901,7.762404909,0.084502,0.028181
0.086437581,2.620515975,0.243887376,0.570010997,1.094683564,0.200160444,0.337982021,7.879058859,0.10966,0.012553
0.104518229,0.71518164,0.166066738,0.543734225,1.147124611,0.157776832,0.323113036,7.701279485,0.087046,0.042234
0.093065186,0.540868882,0.174586935,0.549884935,0.834481669,0.154857502,0.316913917,7.675701286,0.10317,0.018922
0.092913411,2.342270281,0.230537383,0.457499655,1.293414982,0.23071968,0.345929013,7.665567233,0.09496,0.032557
0.088304443,2.180230234,0.243552793,0.516951954,1.398712812,0.219005184,0.353314278,7.634184042,0.091152,0.024377
0.088642578,2.542119827,0.236082404,0.572374592,1.209027119,0.180621244,0.347988468,7.88889121,0.096613,0.019113
0.084453939,-2.988683105,0.318534442,0.464545882,0.765475104,0.27523232,0.392884834,7.3555845,0.073485,0.045999
0.087193604,2.880595478,0.27147081,0.451653892,1.067140136,0.229671626,0.325950574,7.758292536,0.095685,0.028685
0.083802083,-2.878021927,0.326001228,0.483373443,0.728569413,0.232573936,0.348318881,7.713766371,0.073421,0.037621
0.086158854,2.958265774,0.212007744,0.569768025,0.775721975,0.138241491,0.341551828,7.81484286,0.067779,0.025055
0.074393717,-3.052478863,0.21643932,0.591498398,1.36367481,0.187872113,0.351752029,7.763583022,0.093715,0.0037031
0.081982422,2.626090403,0.220646918,0.671944987,1.208722285,0.160589307,0.317537257,7.581246048,0.072665,0.027872
0.084021403,-2.785018855,0.290385477,0.468651948,0.758418189,0.225645584,0.342792381,7.810389284,0.097023,0.019904
0.084851481,0.354497579,0.181701468,0.570148185,1.72602299,0.181003441,0.342057285,7.734091393,0.12925,0
0.08034139,2.506335136,0.203628705,0.459494913,1.018326731,0.172415557,0.321971414,7.823850989,0.10201,0.0077458
0.087190348,2.897679254,0.245539325,0.612957178,1.088612926,0.167216395,0.362501131,7.390563366,0.074617,0.036766
0.085130208,3.099022982,0.281355071,0.502995366,0.870881729,0.228677744,0.361503731,7.697357479,0.090171,0.022172
0.097540283,2.674278178,0.227121027,0.541788632,1.001341298,0.174528227,0.347227263,7.848337347,0.079113,0.029528
