ImageName,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED,D_ER,pref
Nature1,0.158277755,1.396264295,0.073895729,0.150188249,0.153842951,0.201462773,6.916182355,6.835823267,-0.068084608,0.109940351,0.004469052,0.010661079,0.015438918,0.089337941,0.143850479,1.610183505,6.17016398
Nature2,0.155683713,-0.243284044,0.104461633,0.157964492,0.147315767,0.337203178,7.758409842,6.846153846,-0.073691007,0.113439475,0.014106214,-0.003705705,0.004804192,0.105668166,0.188193108,1.78098206,6.143879499
Nature3,0.107262928,0.041777874,0.081632001,0.243137216,0.220657573,0.302422465,6.497555311,6.799299477,-0.072233882,-0.026639289,0.106537285,0.026698949,0.004233684,0.136591672,0.200119499,1.465092974,5.977378253
Nature4,0.0967198,-1.512434702,0.119532774,0.179672712,0.198247544,0.224441987,7.521686564,6.794134187,-0.03259822,-0.00861401,-0.04144434,-0.049008242,0.004053057,0.169985088,0.218174951,1.28349465,6.063141594
Nature5,0.088975421,-0.13327791,0.090829632,0.187494461,0.184931557,0.247277718,7.090056426,6.64840579,-0.088222047,0.060759365,0.045929014,0.036221853,0.005153942,0.16194222,0.217792521,1.344877951,5.059024531
Nature6,0.107192907,0.465910933,0.075778784,0.212586613,0.223883648,0.257775506,7.33887263,6.826207883,-0.082613155,0.086493539,0.070716932,0.009959113,0.008200281,0.149520881,0.219443759,1.467646241,5.481710342
Nature7,0.124638648,-0.245326881,0.081483346,0.177552838,0.21796239,0.27635432,7.236610024,6.846153846,-0.069380108,-0.009211473,0.174479991,-0.002863461,0.00434236,0.103352639,0.190623561,1.844399551,5.284103214
Nature8,0.127908768,-1.319004847,0.119823281,0.176194344,0.297772969,0.350914698,7.46682897,6.8203274,-0.064169795,-0.074603973,0.08453687,0.016968281,0.02341876,0.12367441,0.163679099,1.323467797,3.262296543
Nature9,0.132077585,-0.009101175,0.081365363,0.192599776,0.235633041,0.286242458,7.617734469,6.825492689,-0.076105479,-0.000776782,0.039792604,0.024444011,0.036706224,0.130624553,0.135957431,1.040826,4.270099426
Nature10,0.087960471,0.573280212,0.101501935,0.164169282,0.284806146,0.273479414,7.149723607,6.8203274,-0.080760809,0.055212197,0.078502031,-0.021281298,0.02227991,0.127248769,0.168376528,1.32320752,4.206814512
Nature11,0.139994601,0.761083379,0.049134536,0.213622897,0.156582302,0.248766764,7.381741014,6.39992787,-0.078698963,0.098321735,0.023956905,0.005610417,0.018986976,0.110096316,0.150795362,1.369667646,5.989986537
Nature12,0.061307859,1.159795166,0.087140283,0.159108039,0.231188226,0.279772385,6.853019271,6.537122842,-0.090115281,0.051921889,0.022184969,0.013565247,0.010604722,0.145058757,0.200970529,1.385442238,4.292890201
