low_level_output_road
name,ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,StraightED,NonStraightED
p1r00001.jpg ت ت,0.10499,1.5032,0.248,0.54401,1.5168,0.16016,0.2164,7.56,0.05896,0.055299
p1r00002.jpg ت ت,0.093361,2.1782,0.224,0.54513,2.2178,0.14534,0.18077,7.0228,0.046685,0.05436
p1r00003.jpgت ت ت,0.10178,-2.5268,0.14773,0.5491,1.3439,0.1417,0.23875,7.6283,0.066898,0.043306
p1r00004.jpgت ت ت,0.094575,-2.1605,0.17741,0.62648,1.8636,0.16617,0.25905,7.4133,0.061692,0.047985
p1r00005.jpgت ت ت,0.09279,0.95214,0.24662,0.56229,1.9591,0.20182,0.18965,7.2975,0.04904,0.049886
p1r00006.jpgت ت ت,0.1097,0.85855,0.1609,0.5802,1.4907,0.15577,0.23832,7.4389,0.039744,0.074221
p1r00007.jpgت ت ت,0.10144,0.95163,0.20973,0.56634,1.6919,0.17964,0.19528,7.5229,0.056329,0.069815
p1r00008.jpgت ت ت,0.10865,-0.026866,0.18377,0.61148,2.1036,0.19606,0.25184,7.5834,0.042558,0.071543
p1r00009.jpg ت ت ت,0.087863,-2.764,0.19688,0.55455,0.90177,0.15081,0.23086,7.516,0.039944,0.052338
p1r00010.jpgت ت ت,0.085545,-2.7629,0.21823,0.55813,1.0586,0.16011,0.21246,7.5004,0.061317,0.028204
p1r00011.jpgت ت ت,0.087201,-2.7517,0.13051,0.59338,1.0341,0.11293,0.22446,7.3553,0.03556,0.053111
p1r00012.jpgت ت ت,0.08207,-2.5813,0.15664,0.58931,1.1447,0.1341,0.19957,7.3154,0.050604,0.030894
p1r00013.jpg ت ت,0.12331,2.6632,0.1727,0.47857,1.7574,0.13943,0.17176,7.2028,0.039981,0.090311
p1r00014.jpgت ت ت,0.11531,-2.8897,0.13733,0.58082,1.4855,0.11163,0.23551,7.323,0.04166,0.074361
p1r00015.jpgت ت ت,0.097087,-2.95,0.13217,0.52591,1.8875,0.12845,0.17269,7.2499,0.050083,0.061259
p1r00016.jpgت ت ت,0.10118,-1.9117,0.13973,0.51345,2.0502,0.11687,0.18093,7.0931,0.033777,0.082275
p1r00017.jpg ت ت,0.098848,1.0953,0.22979,0.57623,1.4595,0.21253,0.19023,7.304,0.046208,0.071989
p1r00018.jpg ت ت,0.092503,2.7975,0.16107,0.66801,2.4078,0.16869,0.23466,7.4518,0.055381,0.060437
p1r00019.jpg ت ت,0.096852,1.2996,0.17293,0.71008,2.1277,0.15707,0.20518,7.1965,0.042869,0.059835
p1r00020.jpg ت ت,0.12437,2.1594,0.18283,0.62518,2.1828,0.18374,0.25624,7.7466,0.033248,0.098765
