low_level_output_sidewalk
name,ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,StraightED,NonStraightED
p1s00001.jpg ت ت,0.096087,1.449,0.15934,0.61673,1.9318,0.087734,0.26846,7.634,0.042888,0.057226
p1s00002.jpgت ت ت,0.1091,0.99731,0.32012,0.54062,1.0994,0.22238,0.20556,7.5601,0.082817,0.043203
p1s00003.jpgت ت ت,0.12305,-2.4173,0.1372,0.4499,1.4764,0.12901,0.16904,7.3464,0.1325,0.017248
p1s00004.jpgت ت ت,0.11458,0.26999,0.24931,0.58799,1.4923,0.23856,0.25732,7.4998,0.10096,0.035377
p1s00005.jpgت ت ت,0.083636,0.71266,0.1718,0.64629,2.3318,0.15775,0.21831,7.3636,0.065085,0.038066
p1s00006.jpg ت ت ت,0.1303,0.77391,0.31628,0.5018,0.92024,0.23482,0.20513,7.5834,0.083017,0.072699
p1s00007.jpgت ت ت,0.10964,0.2973,0.27003,0.59707,1.7345,0.20807,0.1715,7.0604,0.056867,0.064268
p1s00008.jpgت ت ت,0.11021,-0.15024,0.17022,0.49303,2.0823,0.14218,0.19571,7.3992,0.056092,0.056626
p1s00009.jpgت ت ت,0.091818,-2.5814,0.19506,0.57614,1.4064,0.19677,0.24529,7.7469,0.087244,0.019431
p1s00010.jpg ت ت ت,0.095876,-2.8283,0.13721,0.50623,0.8851,0.10472,0.21806,7.0668,0.082294,0.015831
p1s00011.jpg ت ت,0.098843,2.1435,0.16038,0.56564,1.8174,0.18168,0.19209,7.3581,0.055773,0.048164
p1s00012.jpgت ت ت,0.091198,-2.5197,0.16602,0.53673,1.0799,0.13108,0.27751,7.2826,0.094469,0.012119
p1s00013.jpgت ت ت,0.12327,-2.4837,0.12154,0.57572,1.3435,0.11329,0.20231,7.3239,0.07995,0.050986
p1s00014.jpg ت ت,0.1292,1.9043,0.14256,0.47202,1.7754,0.15164,0.17349,7.4411,0.079944,0.057647
p1s00015.jpgت ت ت,0.10848,-2.1654,0.10054,0.55862,1.9154,0.10973,0.17097,7.0106,0.075858,0.039887
p1s00016.jpgت ت ت,0.087311,0.66125,0.098771,0.55914,2.3065,0.12267,0.17525,7.1339,0.065454,0.029243
p1s00017.jpgت ت ت,0.094295,0.66596,0.1771,0.58133,1.5747,0.15856,0.18716,7.2618,0.075092,0.032786
p1s00018.jpgت ت ت,0.10923,0.23288,0.22766,0.56944,2.0793,0.18018,0.21198,7.6354,0.06295,0.062317
p1s00019.jpgت ت ت,0.091413,-0.12521,0.1768,0.73022,2.4388,0.19134,0.22401,7.406,0.060294,0.041257
p1s00020.jpg ت ت,0.12073,1.3399,0.27268,0.57117,1.7306,0.22123,0.2516,7.7564,0.050885,0.083616
p1s00021.jpg ت ت,0.099285,1.6485,0.18867,0.59329,1.9804,0.096018,0.16808,7.177,0.073177,0.037753
p1s00022.jpg ت ت,0.098841,2.1148,0.19073,0.54721,1.7767,0.14177,0.23914,7.6854,0.064896,0.041063
p1s00023.jpg ت ت,0.10369,1.5078,0.21232,0.55088,1.6195,0.12426,0.18317,7.3163,0.067696,0.048807
p1s00024.jpg ت ت,0.09821,1.6805,0.196,0.54016,1.4546,0.13426,0.27707,7.4605,0.056731,0.052019
p1s00025.jpgت ت ت,0.10343,-0.55101,0.19227,0.64822,2.3596,0.16021,0.25777,7.5464,0.084094,0.031996
p1s00026.jpg ت ت ت,0.11957,0.56437,0.33371,0.58682,0.88114,0.19272,0.19867,7.5648,0.12115,0.028016
p1s00027.jpgت ت ت,0.099811,-1.2185,0.20817,0.59607,2.1777,0.16823,0.27009,7.6103,0.072858,0.036409
p1s00028.jpgت ت ت,0.10477,0.84496,0.28537,0.5803,1.2572,0.23338,0.21984,7.7374,0.091298,0.043323
p1s00029.jpg ت ت ت,0.13879,0.71931,0.24951,0.49063,0.99239,0.17202,0.22561,7.7256,0.068165,0.085005
p1s00030.jpgت ت ت,0.10641,-2.9793,0.19612,0.44093,1.6972,0.13387,0.17569,6.9422,0.051248,0.07499
p1s00031.jpgت ت ت,0.13372,0.46374,0.23918,0.51909,1.1973,0.17286,0.22207,7.7278,0.086019,0.075423
p1s00032.jpgت ت ت,0.10517,-2.6056,0.20255,0.53281,1.4572,0.16519,0.22108,7.4474,0.071252,0.056546
p1s00033.jpg ت ت,0.10772,1.4705,0.15072,0.6174,1.6231,0.13666,0.23061,7.5064,0.1167,0.0031813
p1s00034.jpgت ت ت,0.10554,0.35562,0.1479,0.5524,1.2635,0.14248,0.25114,7.4105,0.10877,0.011895
p1s00035.jpg ت ت,0.11812,1.3355,0.13098,0.59336,1.5857,0.15404,0.25233,7.5934,0.126,0.012418
p1s00036.jpg ت ت ت,0.10337,0.84233,0.16857,0.42094,0.92876,0.15945,0.1752,7.3664,0.12588,0.0051073
p1s00037.jpgت ت ت,0.094172,0.68784,0.22548,0.52013,1.2108,0.16003,0.19501,7.3044,0.086698,0.036616
p1s00038.jpg تت ت,0.1235,1.039,0.29651,0.40663,0.72518,0.18505,0.17517,7.354,0.065215,0.073204
p1s00039.jpgت ت ت,0.1046,-3.0409,0.22023,0.53113,1.4029,0.1253,0.21471,7.4952,0.066769,0.043435
p1s00040.jpg ت ت,0.12511,1.6729,0.25776,0.57064,1.676,0.17274,0.22255,7.5378,0.06689,0.07033
p1s00041.jpg ت ت ت,0.13125,0.87754,0.2588,0.58623,0.53708,0.16756,0.23538,7.6686,0.089546,0.064356
p1s00042.jpg تت ت,0.12952,1.2709,0.42168,0.48363,0.73968,0.2861,0.22181,7.5187,0.068483,0.088311
p1s00043.jpg ت ت,0.10727,2.451,0.17124,0.49185,1.5984,0.11081,0.18205,7.1525,0.083492,0.039824
p1s00044.jpg ت ت,0.10377,1.8785,0.25851,0.5103,1.4114,0.21693,0.23344,7.3602,0.070646,0.052743
p1s00045.jpgت ت ت,0.13439,0.41092,0.28202,0.45629,1.0028,0.19336,0.21483,7.4062,0.070729,0.081776
p1s00046.jpg ت ت ت,0.10715,0.65281,0.2434,0.42677,0.83606,0.19825,0.16474,7.2606,0.067085,0.05973
p1s00047.jpg ت ت,0.09939,2.5861,0.22201,0.58384,1.4752,0.15004,0.23326,7.6725,0.066694,0.047587
p1s00048.jpg ت ت,0.097334,2.4607,0.16957,0.40784,1.628,0.11723,0.1628,6.9036,0.081633,0.021969
p1s00049.jpgت ت ت,0.11772,0.79107,0.20867,0.39951,1.0579,0.12516,0.17284,7.1914,0.064092,0.062303
p1s00050.jpg ت ت ت,0.11877,0.48921,0.21365,0.47354,0.82598,0.1433,0.18868,7.5264,0.087887,0.050466
p1s00051.jpg ت ت ت,0.10638,0.47768,0.12761,0.47481,0.6181,0.090761,0.12911,6.8961,0.10806,0.0048563
p1s00052.jpg ت ت ت,0.10534,0.43903,0.15017,0.42478,0.62086,0.11681,0.15562,7.2443,0.098473,0.020348
p1s00053.jpgت ت ت,0.11972,0.66889,0.21135,0.4769,1.9474,0.16812,0.20388,7.2754,0.062792,0.063252
p1s00054.jpg ت ت ت,0.111,0.54981,0.24913,0.6081,0.75051,0.2257,0.24819,7.6752,0.12517,0.023404
p1s00055.jpg ت ت ت,0.12772,-2.9604,0.23528,0.46062,0.88625,0.13485,0.22855,7.3504,0.062652,0.092053
p1s00056.jpg ت ت ت,0.10457,-2.7941,0.33416,0.56606,0.7481,0.16057,0.24253,7.4838,0.086135,0.031983
p1s00057.jpg ت ت,0.11898,1.8084,0.27537,0.40548,1.2398,0.18815,0.16594,7.1264,0.069756,0.068167
p1s00058.jpg ت ت,0.14147,1.6461,0.23833,0.48305,1.2795,0.17027,0.2154,7.5064,0.055421,0.098434
p1s00059.jpg ت ت,0.12774,2.2246,0.29966,0.38203,1.3791,0.18371,0.18529,7.2638,0.075352,0.066365
p1s00060.jpg ت ت,0.11927,1.2337,0.24972,0.59267,1.5153,0.14682,0.23209,7.4475,0.058331,0.073726
p1s00061.jpg ت ت ت,0.11579,0.64203,0.28126,0.4899,0.85349,0.22871,0.23516,7.6188,0.061715,0.064405
p1s00062.jpgت ت ت,0.1072,0.57964,0.30809,0.47845,1.0215,0.25475,0.23496,7.5056,0.058879,0.071251
p1s00063.jpg تت ت,0.13529,1.2535,0.33374,0.46177,0.73152,0.21254,0.21294,7.5674,0.12097,0.052048
p1s00064.jpg تت ت,0.15066,1.2025,0.29685,0.51948,0.80319,0.18794,0.24868,7.7409,0.10454,0.080823
p1s00065.jpgت ت ت,0.094971,0.88437,0.14416,0.63919,2.3676,0.11675,0.19781,7.5371,0.081319,0.02755
p1s00066.jpgت ت ت,0.093286,-2.0724,0.12843,0.49952,1.4811,0.12365,0.20229,7.2645,0.086475,0.018649
p1s00067.jpg ت ت,0.080628,1.1036,0.24603,0.6232,2.7248,0.20429,0.17893,7.2269,0.068923,0.032059
p1s00068.jpg ت ت,0.10507,1.5928,0.20105,0.62312,2.0614,0.16207,0.23707,7.5525,0.073919,0.03973
p1s00069.jpg ت ت,0.10578,1.1084,0.17412,0.34308,1.1325,0.14725,0.17783,7.0769,0.076988,0.044619
p1s00070.jpg ت ت ت,0.12368,0.86022,0.24505,0.41943,0.7565,0.18566,0.20675,7.5465,0.088377,0.045177
p1s00071.jpg ت ت,0.11822,1.324,0.11711,0.49962,1.0526,0.1036,0.22615,7.3847,0.069406,0.048488
p1s00072.jpg ت ت ت,0.12959,0.92493,0.24253,0.41099,0.778,0.14834,0.14858,7.1382,0.080019,0.064252
p1s00073.jpg ت ت ت,0.13322,0.62606,0.35241,0.45789,0.28044,0.19477,0.13985,6.9152,0.094183,0.052996
p1s00074.jpg ت ت ت,0.096377,0.69741,0.20327,0.5908,0.69731,0.19068,0.23626,7.5026,0.10131,0.019041
p1s00075.jpg ت ت,0.089326,1.1718,0.18711,0.58326,1.7178,0.16724,0.23954,7.4585,0.089356,0.028889
p1s00076.jpg ت ت,0.090018,1.2993,0.18449,0.55665,1.2193,0.1238,0.21369,7.5256,0.088815,0.02163
p1s00077.jpg ت ت,0.093582,1.2035,0.2872,0.60671,2.7054,0.21572,0.23348,7.6571,0.066283,0.039363
p1s00078.jpg ت ت,0.12735,1.5095,0.28044,0.46151,1.4533,0.18158,0.22793,7.4314,0.066221,0.078213
p1s00079.jpg ت ت,0.090464,2.1197,0.13633,0.52395,1.5733,0.1953,0.17365,7.2502,0.041223,0.058705
p1s00080.jpgت ت ت,0.088529,0.97299,0.15719,0.46137,1.1801,0.16435,0.17671,7.1621,0.10532,0
