,MedianHHIncome,Preference
0,16479,-0.396164507
1,16479,2.017750378
2,16479,-0.038547487
3,16479,1.481324848
4,61483,-0.217355997
5,61483,1.391920593
6,61483,-0.396164507
7,61483,-1.021994292
8,107625,-0.753781527
9,107625,-0.753781527
10,107625,-0.396164507
11,107625,-1.111398547
12,101489,-0.217355997
13,101489,-0.485568762
14,101489,-1.290207057
15,101489,-1.200802802
16,80441,0.229665278
17,80441,0.319069533
18,80441,0.319069533
19,80441,0.229665278
20,48088,-0.932590037
21,48088,-0.664377272
22,48088,-0.843185782
23,48088,-0.574973017
24,69410,-0.664377272
25,69410,-0.217355997
26,69410,-0.485568762
27,69410,0.855495063
28,51066,-0.038547487
29,51066,0.319069533
30,51066,2.196558888
31,51066,0.587282298
32,68214,-0.038547487
33,68214,-0.574973017
34,68214,0.676686553
35,68214,0.229665278
36,131181,-1.111398547
37,131181,0.676686553
38,131181,1.570729103
39,131181,0.766090808
40,64792,1.838941868
41,64792,1.928346123
42,64792,-0.217355997
43,64792,1.749537613
44,61216,1.302516338
45,61216,0.587282298
46,61216,-0.127951742
47,61216,-0.664377272
48,78333,0.944899318
49,78333,0.050856768
50,78333,-0.574973017
51,78333,-0.306760252
52,77398,0.408473788
53,77398,0.676686553
54,77398,0.319069533
55,77398,1.302516338
56,54306,1.660133358
57,54306,-0.038547487
58,54306,1.570729103
59,54306,-0.753781527
60,42500,1.213112083
61,42500,1.570729103
62,42500,2.017750378
63,42500,1.928346123
64,84758,-0.932590037
65,84758,-1.021994292
66,84758,-0.306760252
67,84758,-0.396164507
68,96094,0.319069533
69,96094,0.497878043
70,96094,-0.843185782
71,96094,0.944899318
72,58118,-1.111398547
73,58118,0.140261023
74,58118,-1.021994292
75,58118,-0.306760252
76,49574,-1.379611312
77,49574,0.587282298
78,49574,-0.664377272
79,49574,-0.664377272
80,73507,-0.843185782
81,73507,-0.753781527
82,73507,-0.843185782
83,73507,0.229665278
84,105179,0.587282298
85,105179,1.749537613
86,105179,-0.127951742
87,105179,0.229665278
88,94355,0.497878043
89,94355,0.140261023
90,94355,-0.664377272
91,94355,1.034303573
92,129205,2.107154633
93,129205,-1.111398547
94,129205,2.285963143
95,129205,-0.306760252
96,128421,-1.200802802
97,128421,-0.574973017
98,128421,1.302516338
99,128421,1.213112083
100,73449,0.319069533
101,73449,1.749537613
102,73449,1.481324848
103,73449,0.140261023
104,73449,1.213112083
105,73449,-0.127951742
106,73449,0.766090808
107,73449,-0.664377272
108,148594,0.497878043
109,148594,1.749537613
110,148594,-1.200802802
111,148594,0.944899318
112,116488,1.123707828
113,116488,2.107154633
114,116488,1.749537613
115,116488,1.838941868
116,82800,1.749537613
117,82800,1.570729103
118,82800,1.660133358
119,82800,1.391920593
120,148636,1.838941868
121,148636,-1.111398547
122,148636,0.050856768
123,148636,0.229665278
124,86486,-0.932590037
125,86486,-0.306760252
126,86486,-0.664377272
127,86486,-0.127951742
128,175625,-0.932590037
129,175625,-1.021994292
130,175625,-0.485568762
131,175625,-0.932590037
132,140556,-0.396164507
