state,county_num,fixed tract,block_group,GEOID,GEOID_text,TotalPop,TotalMedianAge,MalePop,MMedianAge,FemalePop,FMedianAge,TotalAll,White,BlackorAA,Native,Asian,PacificIslander,Other,TwoPlus,HispanicLatino,MedianHHIncome,TotalCivLaborForce,TotalCivEmployed,TotalCivUnemployed,TotalEdu,NoSchooling,Nursery,Kindergarten,1stGrade,2ndGrade,3rdGrade,4thGrade,5thGrade,6thGrade,7thGrade,8thGrade,9thGrade,10thGrade,11thGrade,12thGradeNoGrad,HSGrad,GEDHSGrad,1YrCollege,1PlusYrsCollegeNoDeg,AssociatesDeg,BachelorsDeg,MastersDeg,ProSchoolDeg,DoctorateDeg,Less10k,10k_14.9k,15k_19.9k,20k_24.9k,25k_29.9k,30k_34.9k,35k_39.9k,40k_44.9k,45k_49.9k,50k_59.9k,60k_749.9k,75k_99.9k,100k_124.9k,125k_149.9k,150k_199.9k,200k+,PercWhite,PercBlack,PercNative,PercAsian,PercPacificIslander,PercOther,PercTwoPlus,PercHispanicLatino,PercCivEmployed,PercCivUnemployed,PercNoHS,PercHS,PercCollege,PercMasters,PercProSchool,PercDoctorate
17,31,808900,1,17318089001,170318089001.00,1408,41.9,628,41.3,780,42.4,1408,1303,0,0,77,0,0,9,19,187500,655,646,9,975,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,13,45,0,314,291,104,164,19,12,8,13,7,7,0,0,20,14,48,44,21,23,45,257,92.54261364,0,0,5.46875,0,0,0.639204545,1.349431818,98.6259542,1.374045802,0.820512821,3.692307692,38.15384615,29.84615385,10.66666667,16.82051282
17,31,808900,3,17318089003,170318089003.00,2068,46.1,1046,42.7,1022,47.7,2068,1824,12,0,50,0,0,85,97,127019,864,850,14,1419,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,83,19,13,79,35,458,487,139,92,24,15,21,13,15,10,9,0,16,31,60,77,75,73,107,228,88.20116054,0.580270793,0,2.417794971,0,0,4.110251451,4.690522244,98.37962963,1.62037037,0.986610289,7.188160677,41.22621564,34.31994362,9.795630726,6.483439042
17,31,809800,1,17318098001,170318098001.00,1003,33.9,470,33.6,533,34.1,1003,776,27,0,80,0,30,18,72,83750,637,610,27,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,29,0,360,210,23,59,17,30,0,10,38,0,0,0,35,48,37,41,9,65,31,92,77.36789631,2.691924227,0,7.976071785,0,2.991026919,1.794616152,7.178464606,95.76138148,4.238618524,0.852272727,2.414772727,55.25568182,29.82954545,3.267045455,8.380681818
17,31,810100,3,17318101003,170318101003.00,775,37.1,390,37.2,385,34,775,551,96,0,10,0,0,52,66,87115,440,392,48,519,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,28,0,17,24,15,172,165,13,37,0,13,0,0,0,0,0,0,0,38,12,118,12,43,26,24,71.09677419,12.38709677,0,1.290322581,0,0,6.709677419,8.516129032,89.09090909,10.90909091,9.248554913,5.394990366,43.93063584,31.79190751,2.504816956,7.129094412
17,31,810100,4,17318101004,170318101004.00,506,40.5,294,37.4,212,45.3,506,407,74,0,25,0,0,0,0,80083,277,260,17,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,0,157,109,74,0,0,0,0,0,0,37,0,0,26,0,40,15,10,61,0,18,80.43478261,14.62450593,0,4.940711462,0,0,0,0,93.86281588,6.137184116,0,4.347826087,48.84910486,27.87723785,18.9258312,0
17,31,810100,1,17318101001,170318101001.00,575,34.8,255,34.5,320,37.2,575,396,0,0,115,0,15,0,49,60612,405,405,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,44,0,151,107,33,99,0,0,15,0,49,15,0,31,21,17,68,34,37,0,16,17,68.86956522,0,0,20,0,2.608695652,0,8.52173913,100,0,0,4.194260486,43.04635762,23.62030905,7.284768212,21.85430464
17,31,810100,2,17318101002,170318101002.00,1289,44.1,606,42.2,683,44.8,1289,607,441,0,17,0,0,32,192,57944,789,788,1,966,0,0,0,0,0,0,0,0,21,0,0,36,0,0,0,225,14,44,135,58,254,118,10,51,0,18,0,51,27,31,24,17,80,49,30,81,71,14,40,10,47.09076804,34.21256788,0,1.318851823,0,0,2.482544608,14.89526765,99.87325729,0.126742712,5.900621118,24.74120083,50.82815735,12.21532091,1.035196687,5.279503106
17,31,808302,1,17318083021,170318083021.00,1271,42.4,597,42,674,43.8,1271,492,44,0,510,0,0,44,181,112708,744,736,8,938,48,0,0,0,0,0,0,8,0,0,11,0,0,0,19,120,11,24,117,21,371,152,27,9,0,0,8,8,16,29,0,0,20,33,18,67,50,52,70,66,38.70967742,3.46184107,0,40.12588513,0,0,3.46184107,14.24075531,98.92473118,1.075268817,9.168443497,13.96588486,56.82302772,16.20469083,2.878464819,0.959488273
17,31,809300,3,17318093003,170318093003.00,1484,28.5,777,23.2,707,36.7,1484,858,199,0,314,0,0,37,76,30791,519,497,22,860,14,0,0,0,0,0,0,0,0,0,13,16,6,40,0,134,19,5,30,22,260,156,51,94,129,11,61,68,0,103,27,17,0,3,0,54,16,18,0,81,57.81671159,13.4097035,0,21.15902965,0,0,2.493261456,5.121293801,95.761079,4.238921002,10.34883721,17.79069767,36.86046512,18.13953488,5.930232558,10.93023256
17,31,809300,1,17318093001,170318093001.00,923,45.6,469,46.3,454,44.5,923,820,63,0,0,0,0,0,40,-666666666,354,354,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,121,0,15,29,13,110,110,72,156,132,11,22,0,17,0,0,0,0,45,28,23,0,0,42,123,88.84073673,6.825568797,0,0,0,0,0,4.333694475,100,0,3.987730061,18.55828221,25.61349693,16.87116564,11.04294479,23.92638037
