statefp10,countyfp10,tractce10,commarea,geoid10,name10,commarea_n,Community Area Name,namelsad10,Census Tract Match,Fixed Tract Match,block_group_code,MedianHHIncome,a_image_name
17,31,842400,44,17031842400,8424,44,CHATHAM,8424,8424,842400,170318424003.00,25408,p1s00310.jpg
17,31,840300,59,17031840300,8403,59,MCKINLEY PARK,8403,8403,840300,170318403001.00,42417,0
17,31,841100,34,17031841100,8411,34,ARMOUR SQUARE,8411,8411,841100,170318411002.00,25948,0
17,31,841200,31,17031841200,8412,31,LOWER WEST SIDE,8412,8412,841200,170318412003.00,41494,0
17,31,838200,28,17031838200,8382,28,NEAR WEST SIDE,8382,8382,838200,170318382001.00,62857,0
17,31,650301,65,17031650301,6503.01,65,WEST LAWN,6503.01,6503.01,650301,170316503011.00,43723,0
17,31,530503,53,17031530503,5305.03,53,WEST PULLMAN,5305.03,5305.03,530503,170315305032.00,48182,0
17,31,760803,76,17031760803,7608.03,76,OHARE,7608.03,7608.03,760803,170317608032.00,31228,0
17,31,540102,54,17031540102,5401.02,54,RIVERDALE,5401.02,5401.02,540102,170315401023.00,20238,0
17,31,540101,54,17031540101,5401.01,54,RIVERDALE,5401.01,5401.01,540101,170315401013.00,NaN,p1s00239.jpg
17,31,440201,44,17031440201,4402.01,44,CHATHAM,4402.01,4402.01,440201,170314402012.00,37944,p1s00240.jpg
17,31,839000,32,17031839000,8390,32,LOOP,8390,8390,839000,170318390003.00,84281,p1s00242.jpg
17,31,30601,77,17031030601,306.01,77,EDGEWATER,306.01,306.01,30601,170310306013.00,36439,0
17,31,30604,77,17031030604,306.04,77,EDGEWATER,306.04,306.04,30604,170310306041.00,54531,0
17,31,20801,2,17031020801,208.01,2,WEST RIDGE,208.01,208.01,20801,170310208012.00,67946,p1s00460.jpg
17,31,843300,29,17031843300,8433,29,NORTH LAWNDALE,8433,8433,843300,170318433001.00,50486,0
17,31,80202,8,17031080202,802.02,8,NEAR NORTH SIDE,802.02,802.02,80202,170310802021.00,98580,0
17,31,70102,7,17031070102,701.02,7,LINCOLN PARK,701.02,701.02,70102,170310701023.00,60781,0
17,31,31501,3,17031031501,315.01,3,UPTOWN,315.01,315.01,31501,170310315011.00,24400,0
17,31,31502,3,17031031502,315.02,3,UPTOWN,315.02,315.02,31502,170310315023.00,16298,0
17,31,834900,67,17031834900,8349,67,WEST ENGLEWOOD,8349,8349,834900,170318349001.00,39000,0
17,31,834800,68,17031834800,8348,68,ENGLEWOOD,8348,8348,834800,170318348003.00,27917,0
17,31,160502,16,17031160502,1605.02,16,IRVING PARK,1605.02,1605.02,160502,170311605023.00,59338,0
17,31,140702,14,17031140702,1407.02,14,ALBANY PARK,1407.02,1407.02,140702,170311407022.00,47396,0
17,31,842000,35,17031842000,8420,35,DOUGLAS,8420,8420,842000,170318420001.00,107727,0
17,31,150402,15,17031150402,1504.02,15,PORTAGE PARK,1504.02,1504.02,150402,170311504022.00,79306,0
17,31,834400,42,17031834400,8344,42,WOODLAWN,8344,8344,834400,170318344003.00,40167,0
17,31,40201,4,17031040201,402.01,4,LINCOLN SQUARE,402.01,402.01,40201,170310402012.00,58118,0
17,31,40202,4,17031040202,402.02,4,LINCOLN SQUARE,402.02,402.02,40202,170310402022.00,49574,p1s00458.jpg
17,31,20702,2,17031020702,207.02,2,WEST RIDGE,207.02,207.02,20702,170310207021.00,37250,0
17,31,20802,2,17031020802,208.02,2,WEST RIDGE,208.02,208.02,20802,170310208022.00,47935,0
17,31,20301,2,17031020301,203.01,2,WEST RIDGE,203.01,203.01,20301,170310203012.00,41250,0
17,31,838700,29,17031838700,8387,29,NORTH LAWNDALE,8387,8387,838700,170318387003.00,33191,0
17,31,841500,29,17031841500,8415,29,NORTH LAWNDALE,8415,8415,841500,170318415001.00,30214,0
17,31,838600,29,17031838600,8386,29,NORTH LAWNDALE,8386,8386,838600,170318386001.00,17102,0
17,31,837300,27,17031837300,8373,27,EAST GARFIELD PARK,8373,8373,837300,170318373001.00,36167,0
17,31,837800,28,17031837800,8378,28,NEAR WEST SIDE,8378,8378,837800,170318378002.00,32094,0
17,31,837400,27,17031837400,8374,27,EAST GARFIELD PARK,8374,8374,837400,170318374001.00,42679,0
17,31,836900,27,17031836900,8369,27,EAST GARFIELD PARK,8369,8369,836900,170318369001.00,31181,0
