ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,SED,NSED
0.09801073,0.562308705,0.353687834,0.648314518,0.759562833,0.251842266,0.219514132,7.728764194,0.10088,0.02456
0.113037825,0.068108925,0.167558215,0.47294225,1.428837808,0.193758046,0.234948436,7.379251118,0.10936,0.030741
0.125331116,0.551905752,0.150497719,0.580751235,0.867138569,0.16362994,0.198024657,7.619549494,0.06995,0.063992
0.165977571,1.615438235,0.297588295,0.456855668,0.911829794,0.183771271,0.222387411,7.723283872,0.04356,0.12885
0.182496907,1.1230141,0.517123231,0.494905085,0.323936465,0.232046795,0.272794033,7.862526831,0.074435,0.13043
0.150283232,1.129273919,0.319988489,0.422751677,0.659296543,0.257159605,0.277858001,7.311207465,0.050188,0.11157
0.094307013,-1.503560281,0.179425156,0.523030995,1.566385754,0.174955668,0.308790982,7.751630137,0.048904,0.059078
0.130985144,1.224273775,0.324610846,0.540854794,0.933555683,0.257481783,0.342478631,7.077154223,0.047835,0.099692
0.105897328,1.80247584,0.284855375,0.447408809,1.053320286,0.175247967,0.271301792,7.711225317,0.061598,0.06104
0.145598601,0.722896374,0.379119674,0.434755084,0.97633225,0.240488309,0.257694742,7.739639145,0.066846,0.10039
0.150839893,0.779131439,0.560752087,0.438170101,0.709210358,0.231888857,0.205313901,7.496092688,0.082454,0.098018
0.137333115,0.671347166,0.462304846,0.507370002,0.696706492,0.261301637,0.2496003,7.729277998,0.069481,0.095148
0.15338819,0.816954834,0.477071057,0.472766414,0.703038446,0.251315515,0.272623886,7.856584988,0.055971,0.11956
0.127615823,1.243308192,0.480734723,0.470176914,1.114294063,0.250819151,0.303519234,7.787695557,0.080819,0.079021
0.122292535,1.076649392,0.422192458,0.405803176,0.729984701,0.278732088,0.316702823,7.626500668,0.042956,0.097553
0.141865414,1.200784784,0.333692879,0.540200035,0.872285657,0.270052803,0.27040964,7.929056117,0.069496,0.090866
0.119068396,0.976450301,0.41879432,0.507743732,0.840341491,0.245675884,0.258121314,7.838814992,0.11596,0.05018
0.136968637,0.976839739,0.551985833,0.501213373,0.741433852,0.29264114,0.247257545,7.779003975,0.11442,0.064104
0.124922194,0.570658912,0.269982084,0.606069288,1.463246127,0.186243733,0.312018883,7.671642888,0.047135,0.085599
0.124229163,0.46335157,0.443637867,0.528093872,1.40951341,0.269615904,0.256479164,7.703667706,0.03944,0.099992
0.128498046,0.608667909,0.400527566,0.539955298,1.017346426,0.23638136,0.261821117,7.793061282,0.03981,0.10111
0.126156983,1.749010768,0.330135833,0.451682163,1.461650082,0.282040535,0.302375706,7.817936251,0.064331,0.080186
0.145691097,1.644419838,0.272221304,0.431859982,0.933683896,0.170525233,0.240994207,7.690177894,0.046327,0.11151
0.110310037,1.590375518,0.291179342,0.389433932,1.660420746,0.24591243,0.319762009,7.539583684,0.036633,0.084694
0.16726224,1.020641662,0.690903952,0.388247924,0.25019304,0.200199739,0.203380982,7.424439502,0.095392,0.11939
0.177813998,1.111404969,0.399407084,0.530471796,0.451658587,0.191825998,0.185506419,7.520265221,0.037487,0.15283
0.161721863,1.237395871,0.444515072,0.501569111,0.446563902,0.218653527,0.192056377,7.559329913,0.058892,0.12792
0.141907991,0.846125151,0.323727739,0.438979314,0.742870092,0.258858696,0.256274946,7.853688955,0.1177,0.065346
0.14098904,1.22280273,0.551010448,0.401014391,0.434915976,0.268354599,0.229680677,7.65076825,0.063248,0.10149
0.138656505,0.882150959,0.557515569,0.43268045,0.612982237,0.226673171,0.253629269,7.573815492,0.10688,0.067471
0.134763033,0.888013593,0.592949896,0.460769564,0.430431468,0.315911771,0.289996634,7.373121574,0.11523,0.069962
0.155969837,1.623856498,0.276296059,0.549819251,1.030655754,0.203945748,0.235922926,7.821975552,0.061579,0.11249
0.157416777,1.384028665,0.382415485,0.423984605,0.88486265,0.207877304,0.188331787,7.489909948,0.04801,0.1248
0.113550473,2.709775276,0.307964104,0.688178623,1.761295759,0.241436887,0.258639716,7.454582201,0.061887,0.066748
0.129594999,1.656531695,0.337705407,0.448097447,1.476371554,0.275312703,0.235613941,7.725439953,0.089425,0.074417
0.129594999,1.656531695,0.337705407,0.448097447,1.476371554,0.275312703,0.235613941,7.725439953,0.089425,0.074417
0.109568524,0.79904729,0.215482294,0.552627725,1.346194297,0.157051706,0.271599689,7.545177526,0.055596,0.063062
0.123299309,0.509376778,0.187590011,0.50710077,1.117268653,0.127735554,0.273596485,7.243124468,0.055029,0.072408
0.130041754,1.488414406,0.416826401,0.415248986,0.821714389,0.271531318,0.242974592,7.524135411,0.070444,0.090243
0.141718979,1.95520159,0.248697257,0.498861873,0.931183203,0.155276992,0.233039689,7.598583313,0.060335,0.1001
0.154160844,1.740577018,0.331674649,0.551971981,1.01020329,0.20304149,0.257361622,7.91690931,0.054865,0.10679
0.148519119,1.424449967,0.275908572,0.441642914,0.851834292,0.172993805,0.232212107,7.563628956,0.039419,0.12329
0.131257855,2.102577954,0.200938171,0.482910406,1.053367905,0.087304687,0.226094354,7.527323961,0.020096,0.11341
0.127380276,1.340526996,0.323508945,0.551776009,1.351855251,0.177039076,0.211729896,7.391849938,0.072108,0.07205
0.117634859,0.975100262,0.393993974,0.487008896,0.707553897,0.246820041,0.272692575,7.705490243,0.070173,0.07058
0.165207877,1.25608858,0.389319962,0.529484931,0.821416521,0.224386405,0.20782009,7.655134377,0.054752,0.12621
0.15134494,1.292888648,0.478856719,0.406747128,0.838963003,0.294973428,0.265410788,7.79578722,0.066856,0.10692
0.099331275,-1.135840018,0.461407217,0.537351511,2.255707936,0.264444153,0.189728489,7.224439061,0.10575,0.012579
0.094785271,2.152093701,0.22884478,0.603412898,1.947968477,0.138220735,0.257925315,7.560554202,0.070396,0.036503
0.099973782,0.788460134,0.325768064,0.76337488,1.877693136,0.2592372,0.236410427,7.538928907,0.13978,0
0.116674876,1.265425299,0.228801494,0.348662046,0.637364531,0.189640008,0.224478355,7.428053044,0.074506,0.052553
0.135367077,0.649816901,0.254229207,0.590962522,1.138826169,0.16405241,0.21646022,7.621752161,0.080081,0.059471
0.119690478,1.564377888,0.380138779,0.364395018,0.931727227,0.249250229,0.260496855,7.483631196,0.042571,0.10136
0.127747835,1.937023515,0.325829338,0.396463295,1.079252257,0.23151375,0.283347738,7.262566128,0.028598,0.10631
0.136727341,1.313349307,0.36640486,0.400066486,0.695327151,0.233252948,0.186702657,7.443673039,0.063258,0.097428
0.130570883,0.768208054,0.544655683,0.447467774,0.362096554,0.230625558,0.306144108,7.680387743,0.061231,0.095244
0.157034687,1.660601544,0.297606175,0.516076574,1.027376723,0.235447817,0.285641716,7.877930455,0.062929,0.10802
0.124290801,1.088162373,0.460758288,0.361686962,1.280015127,0.254810113,0.288284126,7.513186209,0.076829,0.080715
0.110581623,0.361348797,0.406583932,0.40527061,0.982955227,0.226146199,0.307645107,7.538191872,0.085869,0.051567
0.127667271,0.911172139,0.498678695,0.465763611,0.955449441,0.244130863,0.264133334,7.734213276,0.11257,0.051081
0.127791069,0.603292356,0.442022228,0.347838567,0.954515269,0.25947027,0.294389066,7.432628858,0.10546,0.069561
0.120459433,1.187195673,0.466217995,0.413084252,0.705600283,0.342188475,0.262162961,7.533539254,0.052775,0.081399
0.138389412,1.1939118,0.56858071,0.610184412,0.989089782,0.363377993,0.278134125,7.676005209,0.050306,0.10156
0.14370146,1.268339859,0.366902341,0.601354673,1.16021188,0.239029961,0.280365358,7.581436247,0.043723,0.11206
0.137982649,0.959671261,0.489320531,0.464220365,0.885948533,0.346015554,0.30530557,7.708215672,0.044812,0.10677
0.140887039,3.13739365,0.283462659,0.45944244,1.818447627,0.223792671,0.332657583,7.736881289,0.063869,0.10185
0.154107863,0.91540276,0.260259777,0.458479871,0.759912375,0.240006573,0.238201001,7.774640127,0.073671,0.096407
0.128264754,1.321852748,0.423632288,0.504688106,0.698060948,0.383901998,0.238867493,7.477003576,0.061887,0.072382
0.162358609,1.463324609,0.399764909,0.501729529,0.555562388,0.219735703,0.241549006,7.819991759,0.072167,0.11756
0.131569602,1.325508647,0.284995891,0.559298485,0.732798325,0.201312165,0.264888739,7.800265027,0.054246,0.093627
0.134328893,1.535344275,0.313253794,0.504042321,0.813386415,0.248986533,0.227121178,7.647314497,0.078148,0.074406
0.112652373,0.629184549,0.354247555,0.508079793,1.302446761,0.237819794,0.234924928,7.565721463,0.05759,0.064065
0.109645375,0.745406069,0.442162877,0.673615949,0.498009592,0.264738282,0.262733788,7.44322044,0.082206,0.054421
0.154113854,0.772366578,0.525627548,0.545767709,0.381387337,0.234728261,0.215208086,7.618358918,0.13117,0.066884
0.172675438,1.609251195,0.27394504,0.524216639,0.883280622,0.174206708,0.206164171,7.663339116,0.049117,0.13874
0.160264899,0.818146636,0.53023097,0.642457375,0.24536918,0.220711488,0.229341076,7.690559628,0.072223,0.10827
0.164846444,1.534792699,0.367430468,0.589118712,0.536992948,0.188946395,0.257826682,7.89959011,0.0629,0.11756
0.136933536,1.739515455,0.365299595,0.461483299,1.055446399,0.168204544,0.262613504,7.501946756,0.041085,0.10301
