StraightED,NonStraightED
0.05896,0.055299
0.046685,0.05436
0.066898,0.043306
0.061692,0.047985
0.04904,0.049886
0.039744,0.074221
0.056329,0.069815
0.042558,0.071543
0.039944,0.052338
0.061317,0.028204
0.03556,0.053111
0.050604,0.030894
0.039981,0.090311
0.04166,0.074361
0.050083,0.061259
0.033777,0.082275
0.046208,0.071989
0.055381,0.060437
0.042869,0.059835
0.033248,0.098765
0.036429,0.07811
0.044879,0.060609
0.043275,0.052777
0.04261,0.069078
0.062077,0.057346
0.044937,0.068312
0.052071,0.077527
0.045331,0.077121
0.037096,0.086542
0.046994,0.095139
0.047887,0.086448
0.066548,0.063897
0.057092,0.058077
0.078865,0.034529
0.073771,0.030825
0.057298,0.053312
0.050219,0.054023
0.046708,0.064031
0.046373,0.10324
0.07471,0.029481
0.084248,0.060248
0.073279,0.072211
0.055915,0.083696
0.065733,0.054821
0.050535,0.068568
0.037521,0.089283
0.054702,0.035172
0.038769,0.059146
0.06134,0.046887
0.063783,0.075891
0.068377,0.037567
0.071929,0.030428
0.068244,0.0519
0.067712,0.06452
0.078585,0.052442
0.054379,0.054951
0.056717,0.053565
0.0564,0.087015
0.053027,0.056142
0.038269,0.088499
0.065013,0.055848
0.064958,0.039211
0.057533,0.10373
0.073288,0.088609
0.058627,0.046036
0.062373,0.040806
0.069163,0.037505
0.098802,0.01569
0.044338,0.060178
0.048006,0.065697
0.028294,0.075798
0.040921,0.072004
0.07885,0.046596
0.065613,0.033412
0.077748,0.031306
0.052448,0.047238
0.055912,0.070357
0.063892,0.055239
0.047144,0.042442
0.081831,0.016995
0.047319,0.063107
0.033383,0.094044
0.03966,0.070036
0.053012,0.049256
0.046725,0.069824
0.050452,0.066048
0.041902,0.074152
0.050552,0.071155
0.063994,0.062224
0.057823,0.049117
0.052952,0.053997
0.095204,0.031653
0.042588,0.06023
0.050154,0.07848
0.07164,0.077631
0.057323,0.057879
0.058475,0.087633
0.056302,0.058081
0.040596,0.083191
0.038998,0.091164
0.058029,0.073771
0.063648,0.051039
0.051046,0.068165
0.058638,0.081256
0.047267,0.086478
0.070917,0.042156
0.064181,0.044705
0.051919,0.068687
0.042825,0.06637
0.056273,0.062598
0.054923,0.040691
0.049156,0.089836
0.032223,0.097087
0.044908,0.078019
0.078969,0.072356
0.052375,0.097815
0.043023,0.087225
0.042102,0.083932
0.038202,0.084597
0.040377,0.060667
0.051892,0.071431
0.037419,0.078871
0.039267,0.091866
0.075088,0.049574
0.061052,0.047492
0.076577,0.030715
0.050992,0.045679
0.068944,0.05038
0.065708,0.038818
0.068417,0.03531
0.055571,0.042283
0.050073,0.061333
0.064415,0.039647
0.053385,0.049292
0.050321,0.07684
0.061252,0.07649
0.067294,0.028172
0.061396,0.054785
0.064213,0.028712
0.052848,0.08866
0.058821,0.034926
0.043331,0.079567
0.052783,0.054273
0.06011,0.056902
0.079417,0.02396
0.061463,0.05645
0.04294,0.057822
0.056902,0.074839
0.03904,0.080334
0.038585,0.087674
0.051773,0.060186
0.038642,0.068482
0.026835,0.10047
0.044923,0.061643
0.056156,0.060202
0.06014,0.064306
0.06326,0.053071
0.059665,0.051209
0.056819,0.051027
0.061213,0.042979
0.0449,0.071486
0.054633,0.059089
0.050492,0.053323
0.071444,0.037336
0.048208,0.08386
0.053929,0.063698
0.047385,0.083047
0.049133,0.1
0.05631,0.051985
0.030377,0.071194
0.042004,0.067998
0.060783,0.044755
0.076656,0.025576
0.048908,0.057874
0.066902,0.030425
0.04946,0.083785
0.066508,0.053904
0.070123,0.038952
0.076206,0.040357
0.061425,0.054835
0.056558,0.050597
0.06084,0.035916
0.078833,0.02322
0.061588,0.035879
0.061488,0.078425
0.038663,0.079222
0.02504,0.096076
0.050858,0.084019
0.054956,0.075472
0.058967,0.073202
0.056863,0.075197
0.048604,0.069449
0.064077,0.054321
0.067067,0.034603
0.027944,0.086391
0.049742,0.077445
0.071021,0.024422
0.050006,0.071714
0.063858,0.040005
0.073429,0.027227
0.056698,0.052991
0.077483,0.058954
0.066138,0.046686
0.080452,0.03308
0.081973,0.028154
0.079217,0.030642
0.089898,0.022291
0.088004,0.04572
0.075181,0.06303
0.068631,0.049878
0.066785,0.046607
0.073925,0.055757
0.062819,0.037878
0.065306,0.053592
0.040058,0.093561
0.082242,0.050018
0.059065,0.068413
0.062306,0.07813
0.079631,0.032596
0.090042,0.058963
0.075652,0.036332
0.035967,0.1017
0.052585,0.055503
0.070398,0.040367
0.077035,0.041833
0.1013,0.02052
0.048638,0.067819
0.072373,0.032267
0.060185,0.067649
0.070273,0.055415
0.085846,0.036289
0.065246,0.038993
0.071483,0.046437
0.10043,0.022964
0.079327,0.044486
0.045954,0.083864
0.064819,0.045253
0.070888,0.053757
0.082896,0.033494
0.070679,0.036515
0.083408,0.043615
