image_name,pcnt_road,pcnt_sidewalk,pcnt_building,pcnt_wall,pcnt_fence,pcnt_pole,pcnt_traffic_light,pcnt_traffic_sign,pcnt_vegetation,pcnt_terrain,pcnt_sky,pcnt_person,pcnt_rider,pcnt_car,pcnt_truck,pcnt_bus,pcnt_train,pcnt_motorcycle,pcnt_bicycle,pcnt_unlabeled
p1r00180,0.327294922,0.049586589,0.176041667,0,0.072434896,0.005953776,0,0.00733724,0.155260417,0,0.167480469,0.003053385,0,0.030166016,0,0,0,0,0,0.005390625
p1r00376,0.269462891,0.00366862,0.082594401,0,0.043024089,0.007952474,0,0.000664063,0.221969401,0.001624349,0.225208333,0,0,0.134788411,0.007685547,0.000104167,0,0,0,0.001253255
p1r00081,0.331790365,0.049671224,0.053470052,9.77E-06,0.009625651,0.014547526,0.004726563,0.007838542,0.160436198,0.011901042,0.317379557,0.002363281,0,0.024430339,0.000914714,0,0,0,0,0.010895182
p1r00305,0.31258138,0.021292318,0.012669271,0,0.023479818,0.005491536,0,0.000198568,0.228398438,0.011171875,0.273779297,0.000813802,0.000576172,0.084798177,0.016777344,0,0,0,0.000485026,0.007486979
p1r00235,0.321702474,0.084488932,0.468066406,0,0.00015625,0.002477214,0,0.003994141,0.065598958,0,0.022473958,0.004518229,0,0.022877604,0.000504557,0,0,0,0,0.003141276
p1r00288,0.381438802,0.025843099,0.06843099,0.000253906,0.013740234,0.018411458,0,0.002858073,0.06195638,0.00733724,0.392763672,0,0,0.018798828,0,0,0,0,0,0.008167318
p1r00066,0.311357422,0.016025391,0.057073568,0,0.01882487,0.024964193,0.001393229,0.008886719,0.041552734,0.006025391,0.398004557,0,0,0.086061198,0.014375,0.000611979,0,0,0,0.01484375
p1r00532,0.227063802,0.018701172,0.375628255,0,0.000110677,0.003802083,4.23E-05,0.002320964,0.04688151,0.014095052,0.166806641,3.58E-05,0,0.143968099,1.63E-05,0,0,0,0,0.000527344
p1r00004,0.372926432,0.029254557,0.096943359,0,0.031263021,0.03117513,0.000530599,0.003404948,0.142135417,0.009462891,0.258095703,0.000377604,0,0.018343099,0.000270182,0.000136719,0,0,0.000371094,0.005309245
p1r00024,0.303955078,0.077373047,0.022363281,0.039065755,0.014153646,0.014287109,0,0.005589193,0.251962891,0.032467448,0.22648112,0.000755208,0,0.00555013,3.26E-06,0,0,0,0,0.005992839
p1r00092,0.309895833,0.022242839,0.16913737,0,0.000419922,0.014541016,2.93E-05,0.002861328,0.047789714,0,0.271155599,0.004860026,0,0.077096354,0.066464844,0.001761068,0,0,0,0.011744792
p1r00408,0.232770182,0.027252604,0.024671224,0.000377604,0.040501302,0.008219401,0,0.004108073,0.470563151,0.079472656,0.043339844,0,0,0.064899089,0,0,0,0,0,0.00382487
p1r00448,0.388492839,0.023258464,0.154345703,0,0.001458333,0.028883464,0.008570964,0.005026042,0.00413737,0.003590495,0.334996745,0.000465495,0,0.036708984,3.26E-05,0,0,0,0,0.010032552
