StraightED ,NonStraightED
0.042888,0.057226
0.082817,0.043203
0.1325,0.017248
0.10096,0.035377
0.065085,0.038066
0.083017,0.072699
0.056867,0.064268
0.056092,0.056626
0.087244,0.019431
0.082294,0.015831
0.055773,0.048164
0.094469,0.012119
0.07995,0.050986
0.079944,0.057647
0.075858,0.039887
0.065454,0.029243
0.075092,0.032786
0.06295,0.062317
0.060294,0.041257
0.050885,0.083616
0.073177,0.037753
0.064896,0.041063
0.067696,0.048807
0.056731,0.052019
0.084094,0.031996
0.12115,0.028016
0.072858,0.036409
0.091298,0.043323
0.068165,0.085005
0.051248,0.07499
0.086019,0.075423
0.071252,0.056546
0.1167,0.0031813
0.10877,0.011895
0.126,0.012418
0.12588,0.0051073
0.086698,0.036616
0.065215,0.073204
0.066769,0.043435
0.06689,0.07033
0.089546,0.064356
0.068483,0.088311
0.083492,0.039824
0.070646,0.052743
0.070729,0.081776
0.067085,0.05973
0.066694,0.047587
0.081633,0.021969
0.064092,0.062303
0.087887,0.050466
0.10806,0.0048563
0.098473,0.020348
0.062792,0.063252
0.12517,0.023404
0.062652,0.092053
0.086135,0.031983
0.069756,0.068167
0.055421,0.098434
0.075352,0.066365
0.058331,0.073726
0.061715,0.064405
0.058879,0.071251
0.12097,0.052048
0.10454,0.080823
0.081319,0.02755
0.086475,0.018649
0.068923,0.032059
0.073919,0.03973
0.076988,0.044619
0.088377,0.045177
0.069406,0.048488
0.080019,0.064252
0.094183,0.052996
0.10131,0.019041
0.089356,0.028889
0.088815,0.02163
0.066283,0.039363
0.066221,0.078213
0.041223,0.058705
0.10532,0
0.06066,0.052326
0.072012,0.039874
0.098304,0.022247
0.058369,0.030983
0.072137,0.043816
0.073908,0.062639
0.10113,0.009301
0.083577,0.050883
0.090933,0.045865
0.066306,0.058469
0.065371,0.044805
0.087171,0.040751
0.068704,0.096725
0.091621,0.035527
0.076252,0.06942
0.058575,0.065571
0.049881,0.061142
0.064537,0.058072
0.058152,0.083185
0.052856,0.075826
0.079025,0.030925
0.066019,0.065907
0.093225,0.039035
0.071813,0.05266
0.064431,0.062157
0.083835,0.051758
0.08871,0.039114
0.092258,0.034656
0.072315,0.057974
0.12185,0.034747
0.059492,0.043198
0.075583,0.042392
0.073994,0.04439
0.057885,0.070473
0.057144,0.069716
0.061954,0.067622
0.061692,0.087087
0.058348,0.093208
0.047852,0.080482
0.07405,0.061562
0.0478,0.081715
0.082515,0.033899
0.076723,0.037409
0.07101,0.062495
0.05265,0.056745
0.10219,0.012043
0.093946,0.0051198
0.10268,0.021059
0.09611,0.016
0.084446,0.023681
0.096004,0.0092042
0.092302,0.023298
0.12994,0
0.097892,0.0076562
0.076798,0.078706
0.075787,0.060806
0.088973,0.01495
0.12206,0.01771
0.082925,0.048844
0.064185,0.041167
0.055073,0.056302
0.051077,0.056063
0.072323,0.045417
0.079915,0.022802
0.0536,0.071712
0.063808,0.037671
0.062604,0.070768
0.10283,0.033846
0.039825,0.10376
0.075865,0.073006
0.037504,0.074461
0.05041,0.10062
0.067094,0.059426
0.0662,0.073066
0.08655,0.049277
0.076525,0.051809
0.081185,0.033294
0.06205,0.064445
0.090835,0.02606
0.08136,0.041248
0.082283,0.023853
0.10939,0.01861
0.12041,0
0.092869,0.019179
0.06996,0.083242
0.057715,0.067004
0.068198,0.078517
0.08696,0.083059
0.056658,0.074419
0.092227,0.022379
0.058221,0.050728
0.079094,0.056009
0.062856,0.025874
0.11319,0.021809
0.059352,0.02424
0.10373,0.016609
0.080523,0.042305
0.087392,0.020111
0.080217,0.039767
0.10563,0.031033
0.058435,0.064728
0.080981,0.022152
0.057604,0.059983
0.090927,0.0053083
0.071656,0.037703
0.042983,0.099625
0.061125,0.043431
0.044267,0.11043
0.053619,0.068255
0.071229,0.063542
0.05319,0.0676
0.067667,0.054353
0.10286,0.017651
0.13751,0.014869
0.11265,0.0082052
0.066565,0.055829
0.06745,0.037582
0.079175,0.033008
0.047231,0.045441
0.065081,0.052322
0.11219,0.097453
0.075029,0.040554
0.049577,0.06978
0.076746,0.040982
0.11458,0.011312
0.096715,0.031132
0.094244,0.030466
0.10506,0.020723
0.10049,0.032752
0.0837,0.065157
0.076502,0.046747
0.074269,0.057666
0.085606,0.025863
0.092269,0.027868
0.075581,0.053974
0.07824,0.047501
0.10203,0.038718
0.074323,0.060079
0.076215,0.067973
0.10641,0.010935
0.090544,0.04305
0.05949,0.088431
0.07345,0.048046
0.10693,0
0.085938,0.029962
0.11197,0.020699
