,MedianHHIncome,PC1
0,16479,-0.118872995
1,16479,0.75139307
2,16479,0.124674656
3,16479,0.579021396
4,61483,-0.180372784
5,61483,0.47836104
6,61483,-0.172605484
7,61483,-0.325153119
8,107625,-0.163330986
9,107625,-0.317038962
10,107625,-0.160590347
11,107625,-0.283394115
12,101489,-0.16984207
13,101489,-0.320214194
14,101489,-0.261592009
15,101489,-0.440493312
16,80441,-0.127732771
17,80441,0.085664217
18,80441,-0.035930836
19,80441,0.097508241
20,48088,-0.417535507
21,48088,-0.291298139
22,48088,-0.296945683
23,48088,-0.384161222
24,69410,-0.228672769
25,69410,0.01982516
26,69410,-0.135299131
27,69410,-0.074927868
28,51066,-0.041467087
29,51066,0.063352213
30,51066,0.49270849
31,51066,0.038060524
32,68214,0.027049193
33,68214,0.105659844
34,68214,0.122814463
35,68214,0.287616179
36,131181,-0.341978065
37,131181,0.259310389
38,131181,0.525427642
39,131181,0.303987145
40,64792,0.259467855
41,64792,0.466011715
42,64792,-0.168438732
43,64792,0.267062985
44,61216,0.420807511
45,61216,0.120077046
46,61216,0.025655844
47,61216,-0.292262889
48,78333,0.121451842
49,78333,0.222315972
50,78333,-0.304968971
51,78333,0.066585033
52,77398,0.152897712
53,77398,0.305219065
54,77398,0.090308254
55,77398,0.339179256
56,54306,0.5627728
57,54306,0.20283231
58,54306,0.634253889
59,54306,-0.18356999
60,42500,0.334886179
61,42500,0.563205871
62,42500,0.81605871
63,42500,0.649465559
64,84758,-0.279234871
65,84758,-0.104802036
66,84758,-0.068921848
67,84758,0.087880702
68,96094,0.2278943
69,96094,0.229334404
70,96094,-0.30660508
71,96094,0.440306617
72,58118,-0.41008184
73,58118,-0.034476917
74,58118,-0.389720496
75,58118,-0.137547505
76,49574,-0.401393234
77,49574,0.02621918
78,49574,-0.244594872
79,49574,-0.308383516
80,73507,-0.171110656
81,73507,-0.192533497
82,73507,-0.339152561
83,73507,-0.134908884
84,105179,0.542043637
85,105179,0.42367914
86,105179,-0.121059606
87,105179,0.324772867
88,94355,0.212066368
89,94355,-0.062257869
90,94355,-0.108478131
91,94355,0.461141633
92,129205,0.520234633
93,129205,-0.06695512
94,129205,0.681677797
95,129205,-0.194238347
96,128421,-0.400413395
97,128421,-0.19136959
98,128421,0.276725396
99,128421,0.396685926
100,73449,0.180276748
101,73449,0.72952027
102,73449,0.5340764
103,73449,0.021709409
104,73449,0.362040924
105,73449,-0.047185578
106,73449,0.180758402
107,73449,-0.192254272
108,148594,0.216305732
109,148594,0.638209999
110,148594,-0.226146363
111,148594,0.286112028
112,116488,0.360175579
113,116488,0.618642964
114,116488,0.510318792
115,116488,0.531566571
116,82800,0.592689203
117,82800,0.448074812
118,82800,0.593312178
119,82800,0.268509502
120,148636,0.543003234
121,148636,-0.179602743
122,148636,0.327350281
123,148636,-0.109585261
124,86486,-0.18584891
125,86486,-0.16033164
126,86486,-0.334648785
127,86486,0.027535011
128,175625,-0.412890424
129,175625,-0.465332992
130,175625,-0.113686002
131,175625,-0.376242357
132,140556,0.10890993
133,140556,-0.277188994
134,140556,0.624139471
135,140556,0.416407837
136,140556,-0.188186964
137,140556,0.687229404
138,140556,0.262444074
139,140556,-0.079197534
140,158462,-0.117181987
141,158462,-0.216393613
142,158462,0.145299543
143,158462,-0.242981076
144,171136,0.222659825
145,171136,-0.118309425
146,171136,0.538450217
147,171136,-0.233484427
148,94250,0.380516993
149,94250,0.397885977
150,94250,-0.103996687
151,94250,0.319264801
152,94250,-0.221933819
153,94250,0.34934596
154,94250,0.337277278
155,94250,0.268446293
156,119125,0.187217409
157,119125,-0.334760328
158,119125,0.185428591
159,119125,-0.383366802
160,109671,0.110616433
161,109671,-0.087683587
162,109671,0.288903587
163,109671,-0.363636746
164,211042,0.748832804
165,211042,-0.587248037
166,211042,0.852511269
167,211042,0.69591581
168,150078,-0.286069469
169,150078,-0.09203489
170,150078,0.114852842
171,150078,0.122757451
172,156581,-0.45632162
173,156581,-0.207137507
174,156581,-0.480875428
175,156581,-0.216624041
176,148542,-0.245561141
177,148542,-0.332681018
178,148542,-0.286651524
179,148542,0.168302252
180,121895,-0.08717972
181,121895,-0.359063976
182,121895,-0.031857947
183,121895,-0.191835317
184,91920,0.566050701
185,91920,0.467731519
186,91920,0.459407034
187,91920,0.495211157
188,84696,0.143863063
189,84696,0.451377969
190,84696,0.460846134
191,84696,0.047955322
192,149113,-0.434358145
193,149113,-0.32206714
194,149113,0.250319688
195,149113,-0.360611871
196,143750,-0.359972047
197,143750,-0.089340174
198,143750,-0.462768998
199,143750,-0.605845632
200,131250,0.378090888
201,131250,-0.101671572
202,131250,0.250000561
203,131250,0.47307004
204,68500,-0.224042782
205,68500,0.638858527
206,68500,0.360806673
207,68500,0.69432497
208,68500,0.532772622
209,68500,0.7298301
210,68500,0.658257609
211,68500,0.455235054
212,155248,0.160387369
213,155248,0.16932824
214,155248,0.45033167
215,155248,0.464967074
216,88942,0.510426693
217,88942,0.594843896
218,88942,0.567334311
219,88942,0.349727716
220,105168,0.172780779
221,105168,0.738963769
222,105168,-0.145458703
223,105168,-0.410261865
224,105168,-0.191931502
225,105168,-0.071788598
226,105168,0.139027761
227,105168,-0.079731362
228,105168,-0.136991639
229,105168,-0.275297512
230,105168,0.700134663
231,105168,0.591675279
232,171538,0.745732273
233,171538,0.57820563
234,171538,0.07820176
235,171538,-0.069640408
236,72098,0.498894126
237,72098,0.041689845
238,72098,-0.039515097
239,72098,-0.352040007
240,72098,0.102515314
241,72098,0.347999124
242,72098,0.539020191
243,72098,-0.265285018
244,156958,0.22517969
245,156958,0.319307648
246,156958,0.038359478
247,156958,0.214415289
248,137151,0.060707301
249,137151,0.289150943
250,137151,0.32988431
251,137151,0.331933156
252,137151,0.524806028
253,137151,0.125378184
254,137151,0.551735243
255,137151,0.189956237
256,137151,0.370554707
257,137151,0.521239719
258,137151,-0.347086109
259,137151,-0.102824897
260,198380,-0.068929926
261,198380,0.257054945
262,198380,-0.136889013
263,198380,0.385450734
264,108563,0.222013558
265,108563,-0.359147224
266,108563,-0.149091629
267,108563,-0.348110476
268,82917,-0.513715025
269,82917,-0.483016882
270,82917,-0.491891259
271,82917,-0.456694669
272,70169,0.446279712
273,70169,0.48781275
274,70169,0.284970318
275,70169,-0.487077783
276,72039,-0.339390151
277,72039,-0.167516499
278,72039,-0.294115094
279,72039,-0.315840347
280,66307,-0.431720794
281,66307,-0.228768059
282,66307,-0.441226929
283,66307,-0.36003112
284,66307,-0.464622885
285,66307,-0.561251245
286,66307,-0.471101441
287,66307,-0.575512997
288,90250,-0.567821364
289,90250,-0.189392427
290,90250,-0.570304458
291,90250,-0.214178634
292,75469,-0.396252529
293,75469,-0.315655619
294,75469,-0.372376055
295,75469,-0.223901531
296,85097,0.048846169
297,85097,-0.512364644
298,85097,0.124867679
299,85097,-0.2554761
300,41250,-0.098372923
301,41250,0.002985424
302,41250,-0.062730717
303,41250,0.330580837
304,68393,0.008021175
305,68393,0.298438733
306,68393,-0.096837616
307,68393,0.383388298
308,46786,0.50318984
309,46786,-0.270105756
310,46786,-0.275491094
311,46786,-0.346901666
312,83125,-0.036796357
313,83125,0.319378887
314,83125,0.019000632
315,83125,-0.387861256
316,84773,-0.215904117
317,84773,0.457054256
318,84773,-0.161746831
319,84773,-0.400924352
320,79306,-0.180582168
321,79306,-0.189868409
322,79306,-0.445810318
323,79306,-0.170411861
324,61607,0.454984408
325,61607,-0.021185982
326,61607,0.036068535
327,61607,-0.25953714
328,61607,-0.56747859
329,61607,-0.193777961
330,61607,-0.169374228
331,61607,-0.282402034
332,64375,-0.310169753
333,64375,-0.404913591
334,64375,-0.33111823
335,64375,-0.413545682
336,64375,0.356646214
337,64375,0.259910395
338,64375,-0.334718196
339,64375,-0.195338516
340,64375,0.311390236
341,64375,0.007279164
342,64375,0.557162392
343,64375,0.069737734
344,77917,-0.125366805
345,77917,0.250850592
346,77917,-0.25693328
347,77917,-0.461376111
348,77917,0.066358682
349,77917,-0.114804307
350,77917,-0.522863556
351,77917,-0.387714125
352,56188,-0.422455464
353,56188,0.013205585
354,56188,-0.02734243
355,56188,-0.452128099
356,61895,-0.271597318
357,61895,-0.115163951
358,61895,-0.304035853
359,61895,-0.223282208
360,61895,-0.446634272
361,61895,-0.447585393
362,61895,-0.186339932
363,61895,-0.344036271
364,61895,0.13647704
365,61895,0.311428984
366,61895,-0.082099702
367,61895,0.240050457
368,56458,-0.439974035
369,56458,0.011446438
370,56458,0.649491482
371,56458,0.517070518
372,55417,0.197320404
373,55417,-0.046042601
374,55417,-0.031596396
375,55417,-0.508621582
376,72222,0.43600829
377,72222,0.67534627
378,72222,-0.532715678
379,72222,-0.076378009
380,73026,-0.222104971
381,73026,-0.249260822
382,73026,-0.307223479
383,73026,-0.222567911
384,106000,-0.165338261
385,106000,-0.044458257
386,106000,-0.189116703
387,106000,0.132204413
388,71731,-0.025271104
389,71731,-0.336963696
390,71731,-0.099054215
391,71731,-0.280575089
392,55455,-0.323373596
393,55455,0.264533574
394,55455,-0.298175959
395,55455,-0.085452696
396,NaN,-0.273210892
